nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Major surgery For Rufus,58,965,5000,0.193,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,13,1,BLUE BELL,PA,52000,0,1,,1
OSCAR Animal Rescue Shelter Fund,59,"2,090",100000,0.021,0,0,Animals," January 27, 2015",1,1/27/15,9/25/16,607,40,20,SPARTA,NJ,745000,0,1,,1
 TLC Animal Shelter Vehicle Fund,60,"19,873",29000,0.685,0,0,Animals," April 17, 2015",4,4/17/15,9/25/16,527,104,17,HOMER GLEN,IL,412000,1,6,1,6
Bizzie's Vet Bills,61,750,5000,0.15,0,0,Animals," September 21, 2016",9,9/21/16,9/25/16,4,11,3,PANAMA CITY,FL,98000,5,1,5,1
Please help our lil rescue niblet!,62,920,2400,0.383,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,12,1,West Hartford,CT,57000,0,1,,1
Help us Save Caillou From Cancer!,63,"1,260",4000,0.315,0,0,Animals," May 11, 2016",5,5/11/16,9/25/16,137,27,4,CHARLESTON,SC,595000,3,13,3,13
Kylo Needs Surgery,64,890,6000,0.148,0,0,Animals," September 23, 2016",9,9/23/16,9/25/16,2,13,2,GLENDALE,CA,54000,0,0,,
Sweet kitty needs hernia surgery ,65,230,400,0.575,0,0,Animals," September 24, 2016",9,9/24/16,9/25/16,1,12,1,BLOOMSBURG,PA,46000,0,1,,1
Animal Kill Shelter Awareness Film,66,480,2500,0.192,0,0,Animals," August 25, 2016",8,8/25/16,9/25/16,31,17,1,PORTLAND,ME,624000,1,2,1,2
Rags To Royals Rescue,67,"6,140",11000,0.558,0,0,Animals," August 23, 2016",8,8/23/16,9/25/16,33,151,1,LEICESTER,NC,687000,0,1,,1
Gandalf's Medical treatment fund =(,68,335,3000,0.112,0,0,Animals," September 22, 2016",9,9/22/16,9/25/16,3,13,3,SOMERSET,NJ,146000,0,0,,
