nameOfCamp,ID, amountReached , goalOfCamp ,goalPercentage,funded,exceeded,category,dateCreated,monthCreated,dateCreatedFormatted,dateScraped,daysSinceStarted,peopleDonated,WRONGnumberOfDays,locationCity,locationState,socialMediaShares,numberOfFBComments,numberOfUpdates,WRONGNumberOfFbComments,WRONGNumberOfUpdates
Costumes for the ballet! ,1294,"3,350",8820,0.38,0,0,Creative," August 6, 2016",8,8/6/16,9/25/16,50,7,1,SANTA CRUZ,CA,54000,1,2,1,2
Help ASBW finish new album!,1295,"1,780",3000,0.593,0,0,Creative," March 16, 2016",3,3/16/16,9/25/16,193,23,6,ARVADA,CO,53000,0,5,,5
Band fund,1296,350,660,0.53,0,0,Creative," August 8, 2016",8,8/8/16,9/25/16,48,5,1,TULSA,OK,31000,0,1,,1
SHOP GIRL ,1297,"3,495",10000,0.35,0,0,Creative," August 24, 2016",8,8/24/16,9/25/16,32,10,1,GLENDALE,CA,48000,0,0,,
Arielle Chanelle's Album Fund,1298,120,10000,0.012,0,0,Creative," September 23, 2015",9,9/23/15,9/25/16,368,3,12,HYDE PARK,MA,45000,0,5,,5
"""Furniture: the Musical"" Fund",1299,"1,025",1500,0.683,0,0,Creative," May 20, 2016",5,5/20/16,9/25/16,128,9,4,10,,45000,0,1,,1
The Puzzle Project,1300,320,1200,0.267,0,0,Creative," August 30, 2016",8,8/30/16,9/25/16,26,6,26,PORTSMOUTH,NH,42000,0,2,,2
Support Micheal Berry's SXSW show,1301,250,250,1,1,0,Creative," March 3, 2016",3,3/3/16,9/25/16,206,6,6,DAVIS,CA,41000,0,4,,4
"Minor Birds ""The Downs"" EP/TourFund",1302,190,2500,0.076,0,0,Creative," March 18, 2016",3,3/18/16,9/25/16,191,5,6,SAN DIEGO,CA,42000,0,1,,1
Wilhelm Custom Guitars,1303,330,983,0.336,0,0,Creative," August 31, 2016",8,8/31/16,9/25/16,25,4,25,MATTOON,IL,47000,0,5,,5
Help Repay Inferno's Debt,1304,"2,100",10000,0.21,0,0,Creative," February 13, 2016",2,2/13/16,9/25/16,225,13,7,LITTLETON,CO,37000,2,8,2,8
Nightmare K!dz: The Screening,1305,90,10000,0.009,0,0,Creative," April 24, 2016",4,4/24/16,9/25/16,154,9,5,LOS ANGELES,CA,23000,0,3,,3
Dr.Umar's F.D.M.G St Paul's Fund,1306,"329,450",4000000,0.082,0,0,Education," March 3, 2015",3,3/3/15,9/25/16,572,8460,19,PHILADELPHIA,PA,17000,154,13,154,13
Memorial College Fund for Melanie ,1307,"5,500",10000,0.55,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,44,2,PORTLAND,OR,451000,0,0,,
College Day ,1308,"3,089",5000,0.618,0,0,Education," September 19, 2016",9,9/19/16,9/25/16,6,103,5,SAN DIEGO,CA,349000,5,0,5,
We stand with Gaspar (Official),1309,"43,360",100000,0.434,0,0,Education," July 18, 2016",7,7/18/16,9/25/16,69,1131,2,LOS ANGELES,CA,3500,13,0,13,
Loring School Irish Dance Team,1310,"2,080",3500,0.594,0,0,Education," September 21, 2016",9,9/21/16,9/25/16,4,33,3,MINNEAPOLIS,MN,345000,0,0,,
Black Guns Matter Tour ,1311,"7,865",25000,0.315,0,0,Education," July 11, 2016",7,7/11/16,9/25/16,76,201,2,PHILADELPHIA,PA,6000,4,3,4,3
Lawsuit to Save Religious Exemption,1312,"15,950",40000,0.399,0,0,Education," February 4, 2015",2,2/4/15,9/25/16,599,205,19,JACKSONVILLE,FL,1800,4,13,4,13
GENERAL SETI'S RESEARCH FUND,1313,"4,447",25000,0.178,0,0,Education," July 7, 2015",7,7/7/15,9/25/16,446,144,14,DETROIT,MI,3200,3,9,3,9
Farragut - Chromebooks Challenge,1314,"7,637",5000,1.527,1,1,Education," March 8, 2016",3,3/8/16,9/25/16,201,44,6,CHICAGO,IL,2700,1,2,1,2
Sex Ed is key! Help us get to D.C.!,1315,"1,105",1100,1.005,1,0,Education," February 29, 2016",2,2/29/16,9/25/16,209,32,6,BILLINGS,MT,222000,0,7,,7
MUN USFQ Quito- Ecuador Team Fund,1316,50,15000,0.003,0,0,Education," July 10, 2016",7,7/10/16,9/25/16,77,3,2,GAITHERSBURG,MD,255000,0,0,,
2015 VicCountry Europe/U.S.A Tour,1317,"3,755",6000,0.626,0,0,Education," February 15, 2015",2,2/15/15,9/25/16,588,45,19,Humevale,VIC,397000,3,1,3,1
Keep Mike Teaching in the US,1318,"2,554",2500,1.022,1,0,Education," March 9, 2015",3,3/9/15,9/25/16,566,33,18,GLENWOOD SPRINGS,CO,567000,0,23,,23
Help us go to DI Globals!,1319,"2,400",2000,1.2,1,1,Education," May 2, 2016",5,5/2/16,9/25/16,146,31,4,AUSTIN,TX,169000,0,6,,6
Give Us A Chance AT THE WELL,1320,"2,765",2500,1.106,1,1,Education," May 1, 2016",5,5/1/16,9/25/16,147,29,4,TRENTON,NJ,151000,0,5,,5
Help Us Get to Destination Imagination,1321,"12,468",25000,0.499,0,0,Education," April 3, 2014",4,4/3/14,9/25/16,906,104,30,HOOKSETT,NH,247000,0,1,,1
Working to be a Firefighter in US,1322,620,3072,0.202,0,0,Education," April 28, 2016",4,4/28/16,9/25/16,150,13,5,SAN ANTONIO,TX,331000,0,1,,1
UNIVERSAL SPIRITUAL GATHERINGS...,1323,110,1000000,0,0,0,Education," May 12, 2016",5,5/12/16,9/25/16,136,9,4,333483,,121000,0,2,,2
#ThankATeacher and Get Us to Grace!,1324,620,750,0.827,0,0,Education," May 6, 2016",5,5/6/16,9/25/16,142,14,4,DALLAS,TX,79000,0,6,,6
Tuition for a Brave Young Man,1325,"11,241",25000,0.45,0,0,Education," December 16, 2015",12,12/16/15,9/25/16,284,132,9,SEATTLE,WA,82000,0,1,,1
Miriam's Legacy - School for kids,1326,"3,586",10000,0.359,0,0,Education," September 21, 2016",9,9/21/16,9/25/16,4,32,4,CONCORD,NH,154000,0,1,,1
Sara's fund for graduate school,1327,530,6000,0.088,0,0,Education," September 23, 2016",9,9/23/16,9/25/16,2,21,1,LONG BEACH,CA,74000,0,0,,
Support Undocumentd Chingona @Mills,1328,"7,257",12000,0.605,0,0,Education," August 19, 2016",8,8/19/16,9/25/16,37,135,1,SAN FRANCISCO,CA,812000,0,4,,4
SF International High - Chromebooks,1329,"7,844",5000,1.569,1,1,Education," March 8, 2016",3,3/8/16,9/25/16,201,30,6,SAN FRANCISCO,CA,1400,0,2,,2
Solace's School & Land,1330,"2,578",100000,0.026,0,0,Education," May 17, 2016",5,5/17/16,9/25/16,131,172,4,NEW YORK,NY,648000,2,0,2,
Rob Kennedy Scholarship Fund at USC,1331,"6,000",25000,0.24,0,0,Education," July 7, 2016",7,7/7/16,9/25/16,80,33,2,GROSSE POINTE,MI,278000,1,1,1,1
Assabet Valley MCJROTC Auxiliary,1332,"30,504",100000,0.305,0,0,Education," May 12, 2016",5,5/12/16,9/25/16,136,73,4,SHREWSBURY,MA,932000,0,13,,13
Help extend Jeremy Ogle's reach. ,1333,"1,025",2000,0.513,0,0,Education," August 27, 2016",8,8/27/16,9/25/16,29,23,28,SURPRISE,AZ,734000,0,5,,5
TC Howe - Chromebooks Challenge,1334,"5,937",5000,1.187,1,1,Education," March 8, 2016",3,3/8/16,9/25/16,201,25,6,INDIANAPOLIS,IN,918000,0,0,,
Solace's School & Land,1335,"2,578",100000,0.026,0,0,Education," May 17, 2016",5,5/17/16,9/25/16,131,172,4,NEW YORK,NY,648000,2,0,2,
Support Undocumentd Chingona @Mills,1336,"7,257",12000,0.605,0,0,Education," August 19, 2016",8,8/19/16,9/25/16,37,135,1,SAN FRANCISCO,CA,812000,0,4,,4
Orange Coast College Forensics Team,1337,"9,175",10000,0.918,0,0,Education," September 13, 2016",9,9/13/16,9/25/16,12,108,11,COSTA MESA,CA,750000,2,0,2,
Farm at Bartram's Garden Transition,1338,"11,150",30000,0.372,0,0,Education," May 20, 2016",5,5/20/16,9/25/16,128,159,4,PHILADELPHIA,PA,1100,0,5,,5
Sacred Mauna Kea Fund,1339,"13,275",15000,0.885,0,0,Education," March 28, 2015",3,3/28/15,9/25/16,547,237,18,WAIANAE,HI,2500,0,26,,26
CCSS Flood Recovery,1340,"14,540",75000,0.194,0,0,Education," August 16, 2016",8,8/16/16,9/25/16,40,111,1,BATON ROUGE,LA,2000,0,0,,
Glenn W  Levey Road to Pearl Harbor,1341,"9,500",250000,0.038,0,0,Education," August 24, 2015",8,8/24/15,9/25/16,398,168,13,SOUTHFIELD,MI,906000,0,49,,49
College Day ,1342,"3,089",5000,0.618,0,0,Education," September 19, 2016",9,9/19/16,9/25/16,6,103,5,SAN DIEGO,CA,349000,5,0,5,
Not Ready To Give Up!!,1343,425,61,6.967,1,1,Education," September 10, 2016",9,9/10/16,9/25/16,15,13,14,BURLINGTON,NC,208000,0,0,,
Re-booting Herd Instinct in Cattle,1344,"5,090",7000,0.727,0,0,Education," August 24, 2016",8,8/24/16,9/25/16,32,78,1,VAN HORN,TX,662000,0,4,,4
Scholarship for Masters Degree,1345,141,31000,0.005,0,0,Education," September 23, 2016",9,9/23/16,9/25/16,2,12,1,HARRISBURG,PA,96000,0,1,,1
Colmesur School Fundraiser,1346,"1,629",1000,1.629,1,1,Education," September 16, 2016",9,9/16/16,9/25/16,9,47,9,EDWARDSVILLE,IL,134000,1,0,1,
Youth Workforce,1347,"7,771",10000,0.777,0,0,Education," October 8, 2015",10,10/8/15,9/25/16,353,267,11,CHICAGO,IL,84000,0,1,,1
Support Erin's Boys,1348,"8,015",25000,0.321,0,0,Education," September 12, 2016",9,9/12/16,9/25/16,13,92,13,EAST NORTHPORT,NY,273000,0,1,,1
Kanoon goes to Washington D.C.,1349,220,12000,0.018,0,0,Education," September 24, 2016",9,9/24/16,9/25/16,1,5,1,CHICAGO,IL,464000,0,0,,
Dia de los Muertos 2016,1350,940,1500,0.627,0,0,Education," September 12, 2016",9,9/12/16,9/25/16,13,49,12,LOS ALTOS,CA,2000,0,1,,1
Please Help Emmanuel Graduate!,1351,"6,370",11300,0.564,0,0,Education," September 1, 2016",9,9/1/16,9/25/16,24,31,24,NEW YORK,NY,665000,1,11,1,11
Fulfilling a life long dream,1352,"2,945",12000,0.245,0,0,Education," September 16, 2016",9,9/16/16,9/25/16,9,17,9,PHILADELPHIA,PA,186000,0,5,,5
GWA PTO  Money Drive #GFMtoSchool,1353,"16,282",100000,0.163,0,0,Education," September 7, 2016",9,9/7/16,9/25/16,18,112,18,SAINT GEORGE,UT,132000,0,2,,2
Our Lady of Kibeho School,1354,"6,897",500000,0.014,0,0,Education," September 18, 2016",9,9/18/16,9/25/16,7,48,6,NEW YORK,NY,293000,1,1,1,1
Randolph Percussion Nat'l Festival,1355,"1,821",10000,0.182,0,0,Education," September 11, 2016",9,9/11/16,9/25/16,14,37,14,RANDOLPH,NJ,435000,1,4,1,4
Winterton Kid's College Fund,1356,"41,715",100000,0.417,0,0,Education," March 23, 2016",3,3/23/16,9/25/16,186,281,6,DRAPER,UT,1600,1,2,1,2
Pay It Forward Campaign,1357,"4,075",3000,1.358,1,1,Education," August 18, 2016",8,8/18/16,9/25/16,38,52,1,WASHINGTON,DC,300000,3,5,3,5
Helping Hand for Chip,1358,"12,440",10000,1.244,1,1,Education," February 8, 2016",2,2/8/16,9/25/16,230,140,7,CANTON,GA,673000,0,1,,1
Bus Conversion to Home + Apothecary,1359,"1,704",20000,0.085,0,0,Education," August 29, 2016",8,8/29/16,9/25/16,27,35,26,SAINT LOUIS,MO,198000,0,3,,3
Educating Kids in Zimbabwe,1360,"4,125",40000,0.103,0,0,Education," March 21, 2016",3,3/21/16,9/25/16,188,73,6,SAN DIEGO,CA,287000,0,1,,1
Help Camila Finish School,1361,"3,010",18000,0.167,0,0,Education," September 12, 2016",9,9/12/16,9/25/16,13,31,13,HAMMOND,IN,383000,2,1,2,1
Help My Brother Go To College,1362,"7,320",6000,1.22,1,1,Education," July 12, 2016",7,7/12/16,9/25/16,75,130,2,WINNETKA,IL,611000,0,2,,2
Tablets for Education,1363,"13,885",20000,0.694,0,0,Education," June 25, 2016",6,6/25/16,9/25/16,92,159,3,ALEXANDRIA,LA,967000,0,0,,
Salais for NEA Director,1364,732,5000,0.146,0,0,Education," September 13, 2016",9,9/13/16,9/25/16,12,26,12,LANSING,MI,730000,0,2,,2
Ciara Whitney Scholarship Fund,1365,"11,500",2000,5.75,1,1,Education," March 30, 2016",3,3/30/16,9/25/16,179,218,5,DOUGLASSVILLE,PA,1100,0,0,,
Deah-Yusor-Razan Scholarship Fund,1366,"7,491",100000,0.075,0,0,Education," February 14, 2015",2,2/14/15,9/25/16,589,123,19,BERKELEY,CA,4900,1,0,1,
The Opportunity of a Lifetime,1367,"2,445",30000,0.082,0,0,Education," August 30, 2016",8,8/30/16,9/25/16,26,26,25,SLIDELL,LA,696000,4,13,4,13
Brian's Quest for Vision,1368,"9,583",15000,0.639,0,0,Education," June 20, 2016",6,6/20/16,9/25/16,97,115,3,MORRIS PLAINS,NJ,261000,0,0,,
DeSean's big hug :-),1369,"10,995",5000,2.199,1,1,Education," May 8, 2016",5,5/8/16,9/25/16,140,184,4,IOWA CITY,IA,887000,1,1,1,1
JILL STEIN: BANNERS and LIGHT SIGN,1370,374,1500,0.249,0,0,Education," August 27, 2016",8,8/27/16,9/25/16,29,6,28,BERKELEY,CA,97000,0,0,,
Billy's Education,1371,270,5500,0.049,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,8,3,BLOOMINGTON,IN,86000,2,1,2,1
Heaven's JrNYLC Trip,1372,455,3500,0.13,0,0,Education," September 19, 2016",9,9/19/16,9/25/16,6,12,5,HARLINGEN,TX,78000,0,0,,
RPHS TSA Nationals Competition,1373,"4,260",5000,0.852,0,0,Education," April 22, 2016",4,4/22/16,9/25/16,156,78,5,ROSELLE PARK,NJ,494000,8,9,8,9
The Miami Algebra Project,1374,"7,611",15000,0.507,0,0,Education," November 7, 2015",11,11/7/15,9/25/16,323,87,10,MIAMI,FL,317000,1,0,1,
One Month of Tuition Fees,1375,261,1700,0.154,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,10,2,TACOMA,WA,43000,0,2,,2
Restore&Respect; Teachers' Salaries,1376,"13,075",50000,0.262,0,0,Education," June 4, 2016",6,6/4/16,9/25/16,113,21,3,HOLLYWOOD,FL,367000,1,0,1,
Naju Technical HS - USA fund,1377,"2,932",3000,0.977,0,0,Education," July 23, 2016",7,7/23/16,9/25/16,64,77,2,PORT SAINT LUCIE,FL,204000,0,0,,
Sheldon Clark High School Oboe Fund,1378,305,3300,0.092,0,0,Education," May 2, 2016",5,5/2/16,9/25/16,146,8,4,INEZ,KY,75000,0,2,,2
Scholarship Fund for College,1379,270,5000,0.054,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,10,2,QUINCY,IL,4000,0,0,,
Sailing to Greenfield Village,1380,"1,415",1500,0.943,0,0,Education," September 13, 2016",9,9/13/16,9/25/16,12,23,12,BAY CITY,MI,66000,0,0,,
Doudna Playground Project,1381,"33,656",75000,0.449,0,0,Education," November 10, 2015",11,11/10/15,9/25/16,320,127,10,RICHLAND CENTER,WI,470000,0,0,,
Home Libraries For Refugee Students,1382,"2,271",6200,0.366,0,0,Education," February 4, 2016",2,2/4/16,9/25/16,234,58,7,BUFFALO,NY,469000,0,9,,9
They Carried Us Black Women Leaders,1383,"8,263",25000,0.331,0,0,Education," July 15, 2015",7,7/15/15,9/25/16,438,63,14,WHITE STONE,VA,144000,0,9,,9
Choir Trip To New York City! Help!,1384,390,1400,0.279,0,0,Education," September 19, 2016",9,9/19/16,9/25/16,6,13,5,HENDERSON,NV,136000,0,0,,
Help Matt pay for college!,1385,430,10000,0.043,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,8,2,BRYAN,TX,60000,2,1,2,1
Emily Lucot's Kenya Trip Fund,1386,"2,020",3000,0.673,0,0,Education," September 16, 2016",9,9/16/16,9/25/16,9,33,8,CONCORD,CA,175000,0,0,,
Help Sandra A Graduate on time,1387,"9,186",5000,1.837,1,1,Education," September 1, 2015",9,9/1/15,9/25/16,390,282,12,RANDALLSTOWN,MD,988000,2,2,2,2
Back to school competition!!!,1388,"1,860",2500,0.744,0,0,Education," August 1, 2016",8,8/1/16,9/25/16,55,54,1,ORLANDO,FL,768000,9,0,9,
Ashburn Old School Rehabilitation,1389,"6,650",14000,0.475,0,0,Education," January 18, 2016",1,1/18/16,9/25/16,251,76,8,ASHBURN,VA,334000,0,3,,3
Birthing Justice: Becoming A Doula!,1390,"1,743",1100,1.585,1,1,Education," August 14, 2016",8,8/14/16,9/25/16,42,42,1,SAINT LOUIS,MO,450000,0,4,,4
Taylor Nikol Pinney Scholarship,1391,590,1000,0.59,0,0,Education," September 15, 2016",9,9/15/16,9/25/16,10,14,9,PORT ORANGE,FL,203000,0,3,,3
College Tuition,1392,"18,388",25000,0.736,0,0,Education," April 12, 2014",4,4/12/14,9/25/16,897,204,29,INDIANAPOLIS,IN,946000,24,12,24,12
Keeping A Home,1393,"6,030",6000,1.005,1,0,Education," April 6, 2016",4,4/6/16,9/25/16,172,130,5,DORADO,PR,1000,1,6,1,6
Help Fund Ezra's College Goals,1394,"8,764",10000,0.876,0,0,Education," April 24, 2016",4,4/24/16,9/25/16,154,115,5,AUSTIN,TX,294000,4,2,4,2
Jin&Lynn; Learn to Swim Book Series,1395,"4,320",23000,0.188,0,0,Education," July 29, 2016",7,7/29/16,9/25/16,58,39,1,SAINT LOUIS,MO,481000,0,5,,5
Help send Jayden to Orlando,1396,"1,165",4600,0.253,0,0,Education," September 5, 2016",9,9/5/16,9/25/16,20,30,19,CLANCY,MT,34000,0,0,,
Education Funding for Damien's Dad  ,1397,"5,950",5000,1.19,1,1,Education," September 17, 2013",9,9/17/13,9/25/16,1104,102,36,MADISON,WI,307000,0,24,,24
Next 7 Generations Journey,1398,175,7000,0.025,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,4,2,TUCSON,AZ,154000,1,0,1,
School Art and Tech Class Computer,1399,"3,650",4000,0.913,0,0,Education," September 12, 2016",9,9/12/16,9/25/16,13,44,12,COLORADO SPRINGS,CO,59000,0,0,,
HELP KYMARE FINISH GRAD SCHOOL,1400,"2,569",6854,0.375,0,0,Education," August 14, 2016",8,8/14/16,9/25/16,42,29,1,BROOKLYN,NY,139000,0,3,,3
Help me attend my dream program,1401,"3,505",57,61.491,1,1,Education," September 9, 2016",9,9/9/16,9/25/16,16,40,16,SAN FRANCISCO,CA,54000,1,0,1,
COHS: Chromebook Carts,1402,"1,490",53,28.113,1,1,Education," September 2, 2016",9,9/2/16,9/25/16,23,38,22,ELK GROVE,CA,191000,0,0,,
James's Acting Education/Training,1403,100,3000,0.033,0,0,Education," May 18, 2016",5,5/18/16,9/25/16,130,5,4,LOS ANGELES,CA,93000,0,5,,5
Help Ashley Become an Herbalist,1404,150,2000,0.075,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,6,2,CHARLOTTE,NC,37000,0,0,,
Help us keep our school open!,1405,530,100000,0.005,0,0,Education," August 22, 2016",8,8/22/16,9/25/16,34,7,1,90321,US,125000,0,1,,1
High School Trip to Japan,1406,725,4000,0.181,0,0,Education," September 11, 2016",9,9/11/16,9/25/16,14,14,14,INDIANAPOLIS,IN,202000,0,0,,
Iron Maidens FTC Robotics!,1407,"11,090",11500,0.964,0,0,Education," August 13, 2015",8,8/13/15,9/25/16,409,64,13,SAINT PAUL,MN,272000,0,5,,5
Help Me Teach! #GFMScholarship,1408,535,5000,0.107,0,0,Education," February 10, 2016",2,2/10/16,9/25/16,228,9,7,MOUNTLAKE TERRACE,WA,289000,0,4,,4
Online Coaching Course,1409,500,500,1,1,0,Education," May 29, 2016",5,5/29/16,9/25/16,119,6,3,GAITHERSBURG,MD,15000,0,0,,
"Studying Abroad in Seoul, Korea",1410,"19,129",20000,0.956,0,0,Education," April 6, 2016",4,4/6/16,9/25/16,172,51,5,CHICAGO,IL,270000,0,18,,18
Olivia's College Campaign,1411,"4,520",20000,0.226,0,0,Education," August 5, 2016",8,8/5/16,9/25/16,51,45,1,RIVERSIDE,CA,222000,0,0,,
Tanglewood Summer Music Program,1412,645,2000,0.323,0,0,Education," January 30, 2016",1,1/30/16,9/25/16,239,13,7,DENTON,TX,271000,0,2,,2
Book Bags for young scholars!,1413,"1,306",1000,1.306,1,1,Education," September 13, 2016",9,9/13/16,9/25/16,12,21,12,WASHINGTON,DC,45000,0,0,,
Send a Monarch Butterfly to Mexico,1414,915,2000,0.458,0,0,Education," December 30, 2015",12,12/30/15,9/25/16,270,24,9,CHAMPAIGN,IL,216000,1,5,1,5
PHES Little Free Library,1415,670,600,1.117,1,1,Education," September 14, 2016",9,9/14/16,9/25/16,11,24,11,BRIGHTON,MO,172000,0,6,,6
For the love of SCIENCE! :),1416,360,850,0.424,0,0,Education," August 14, 2016",8,8/14/16,9/25/16,42,10,1,MIAMI,FL,169000,0,1,,1
Magnolia Odyssey of the Mind Worlds,1417,"1,700",13000,0.131,0,0,Education," April 8, 2016",4,4/8/16,9/25/16,170,20,5,GRASS VALLEY,CA,213000,1,3,1,3
Send Metcalf Chess to Nationals,1418,"1,730",25000,0.069,0,0,Education," January 26, 2016",1,1/26/16,9/25/16,243,32,8,BURNSVILLE,MN,209000,0,0,,
David-Alvin's Trip to Europe,1419,945,5000,0.189,0,0,Education," August 12, 2016",8,8/12/16,9/25/16,44,10,1,ROUND ROCK,TX,121000,0,0,,
College Funding,1420,"2,140",2000,1.07,1,0,Education," May 16, 2016",5,5/16/16,9/25/16,132,14,4,LAS VEGAS,NV,207000,0,11,,11
Will's African Youth Mentoring Fund,1421,125,50000,0.003,0,0,Education," September 12, 2015",9,9/12/15,9/25/16,379,4,12,COLUMBUS,OH,164000,2,33,2,33
Thurgood Marshall Elementary School,1422,710,1500,0.473,0,0,Education," August 29, 2016",8,8/29/16,9/25/16,27,15,26,MORROW,GA,117000,0,0,,
Austins trip to DC for the JrNYLC,1423,"2,450",3000,0.817,0,0,Education," November 2, 2015",11,11/2/15,9/25/16,328,24,10,FEDERAL WAY,WA,207000,0,3,,3
Seven Mysterious Unicorns DI Team,1424,"1,055",4000,0.264,0,0,Education," April 16, 2016",4,4/16/16,9/25/16,162,32,5,DULUTH,MN,203000,3,2,3,2
Help Me Go To Grad School,1425,785,5000,0.157,0,0,Education," September 18, 2016",9,9/18/16,9/25/16,7,13,6,SAN CLEMENTE,CA,112000,0,2,,2
Dr. Mike's Medical Expenses,1426,"3,750",50000,0.075,0,0,Education," June 15, 2016",6,6/15/16,9/25/16,102,37,3,BAKERSFIELD,CA,201000,1,1,1,1
SCHOOL SUPPLIES FOR CAMDEN NJ,1427,"1,560",5000,0.312,0,0,Education," September 5, 2016",9,9/5/16,9/25/16,20,20,20,SOMERSET,NJ,32000,0,1,,1
Juilliard - A Dream Come True!,1428,663,60000,0.011,0,0,Education," July 9, 2016",7,7/9/16,9/25/16,78,18,2,LOS ANGELES,CA,194000,0,3,,3
New Braille Embosser for Natalya,1429,600,12000,0.05,0,0,Education," August 29, 2016",8,8/29/16,9/25/16,27,16,26,ORCHARD PARK,NY,152000,0,3,,3
A Tortoise In Honduras,1430,240,2000,0.12,0,0,Education," September 21, 2016",9,9/21/16,9/25/16,4,6,3,BURNSVILLE,MN,63000,0,1,,1
Stephanie's PT Future Fund,1431,235,1000,0.235,0,0,Education," September 23, 2016",9,9/23/16,9/25/16,2,5,2,COSTA MESA,CA,3000,0,0,,
Help SJB Odyssey Team go to Worlds,1432,"6,797",9000,0.755,0,0,Education," April 7, 2016",4,4/7/16,9/25/16,171,59,5,LONGMONT,CO,184000,0,1,,1
Walk in the PARCC Book,1433,820,1500,0.547,0,0,Education," September 21, 2016",9,9/21/16,9/25/16,4,9,4,PASADENA,MD,67000,0,1,,1
Walk in the PARCC Book,1434,820,1500,0.547,0,0,Education," September 21, 2016",9,9/21/16,9/25/16,4,9,4,PASADENA,MD,67000,0,1,,1
JILL STEIN: BANNERS and LIGHT SIGN,1435,374,1500,0.249,0,0,Education," August 27, 2016",8,8/27/16,9/25/16,29,6,28,BERKELEY,CA,97000,0,0,,
Shiyenne's Tuition Mission,1436,"1,665",7000,0.238,0,0,Education," September 5, 2016",9,9/5/16,9/25/16,20,19,19,RICHMOND,IN,141000,0,2,,2
Andrews University year 2,1437,745,14000,0.053,0,0,Education," August 3, 2016",8,8/3/16,9/25/16,53,13,1,LAWRENCEVILLE,GA,180000,0,10,,10
#gfmscholarship-Help me win ,1438,415,3500,0.119,0,0,Education," June 14, 2016",6,6/14/16,9/25/16,103,27,3,MINNEAPOLIS,MN,144000,0,9,,9
Kenna's Education Abroad in China,1439,"12,650",13000,0.973,0,0,Education," February 17, 2016",2,2/17/16,9/25/16,221,14,7,SEBRING,FL,180000,0,13,,13
Sophie Shadows Doctors in Spain!,1440,"1,135",3000,0.378,0,0,Education," June 6, 2016",6,6/6/16,9/25/16,111,18,3,LEAWOOD,KS,177000,1,0,1,
G-T/R-A High School Band/Vocal Trip,1441,110,14000,0.008,0,0,Education," September 21, 2016",9,9/21/16,9/25/16,4,4,4,RUTHVEN,IA,91000,0,0,,
Hamilton Elementary PTO,1442,"19,314",54000,0.358,0,0,Education," June 14, 2015",6,6/14/15,9/25/16,469,55,15,HAMILTON,MI,91000,0,14,,14
21st Century Learning Environment,1443,715,5000,0.143,0,0,Education," June 21, 2016",6,6/21/16,9/25/16,96,11,3,WASHINGTON,IN,176000,0,3,,3
Help CWP publish magazines,1444,745,3000,0.248,0,0,Education," August 21, 2016",8,8/21/16,9/25/16,35,17,1,EVANSTON,IL,64000,0,0,,
Melanie's NYLF Medical School Trip,1445,"1,870",6000,0.312,0,0,Education," February 24, 2016",2,2/24/16,9/25/16,214,23,7,RIVERVIEW,FL,169000,0,3,,3
Melanie's NYLF Medical School Trip,1446,"1,870",6000,0.312,0,0,Education," February 24, 2016",2,2/24/16,9/25/16,214,23,7,RIVERVIEW,FL,169000,0,3,,3
Help us teach kids to fly,1447,"5,375",16000,0.336,0,0,Education," April 24, 2016",4,4/24/16,9/25/16,154,32,5,STUDIO CITY,CA,88000,0,4,,4
Martin's Columbia University Fund,1448,275,3000,0.092,0,0,Education," September 23, 2016",9,9/23/16,9/25/16,2,4,2,NEW YORK,NY,18000,0,2,,2
Saving VALLEY CRESCENT school ,1449,"2,535",600000,0.004,0,0,Education," March 13, 2016",3,3/13/16,9/25/16,196,21,6,CLOVIS,CA,171000,0,0,,
Dana Summer Intensive  Ballet Fund,1450,665,1700,0.391,0,0,Education," February 16, 2016",2,2/16/16,9/25/16,222,9,7,ROHNERT PARK,CA,151000,0,4,,4
2016 Operation Otter 100%,1451,885,15000,0.059,0,0,Education," August 31, 2016",8,8/31/16,9/25/16,25,18,25,HILTON HEAD ISLAND,SC,34000,0,0,,
Home Urban Garden Project,1452,875,2500,0.35,0,0,Education," March 2, 2016",3,3/2/16,9/25/16,207,13,6,LAKE FOREST,CA,152000,0,11,,11
Chromebooks for Mr. Herring's class,1453,"1,735",4200,0.413,0,0,Education," August 27, 2016",8,8/27/16,9/25/16,29,30,29,MIAMI,FL,104000,0,5,,5
Dream Camp Educational Technology,1454,"3,274",5000,0.655,0,0,Education," September 8, 2015",9,9/8/15,9/25/16,383,25,12,BRYN MAWR,PA,141000,0,1,,1
Alanna's College Tuition,1455,245,5000,0.049,0,0,Education," September 22, 2016",9,9/22/16,9/25/16,3,10,3,MILWAUKEE,WI,27000,1,1,1,1
Cali or Burst,1456,545,5000,0.109,0,0,Education," August 20, 2016",8,8/20/16,9/25/16,36,4,1,MOORE,SC,137000,0,2,,2
